cross_val,kfold,n_trees,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
6,1,1,0.7096774193548387,0.5,0.5833333333333334,0.9230769230769231,0.6688034188034188,0.5,0.7,0.8,0.6666666666666666,0.5,0.6363636363636365,0.8571428571428571,0.6645021645021645
6,2,1,0.7096774193548387,0.4,0.5454545454545454,0.9333333333333333,0.6262626262626263,0.3333333333333333,0.6,0.9333333333333333,0.6222222222222222,0.3636363636363636,0.5714285714285713,0.9333333333333333,0.6227994227994228
6,3,1,0.8064516129032258,1.0,0.6666666666666666,0.875,0.8472222222222222,0.5,0.8,0.9333333333333333,0.7444444444444445,0.6666666666666666,0.7272727272727272,0.9032258064516129,0.7657217334636689
6,4,1,0.8387096774193549,1.0,0.6923076923076923,0.9375,0.8766025641025642,0.3333333333333333,0.9,1.0,0.7444444444444445,0.5,0.7826086956521738,0.967741935483871,0.7501168770453482
6,5,1,0.7741935483870968,0.5,0.6363636363636364,0.9375,0.6912878787878788,0.3333333333333333,0.7,1.0,0.6777777777777777,0.4,0.6666666666666666,0.967741935483871,0.6781362007168458
6,6,1,0.7096774193548387,0.5,0.6,0.9230769230769231,0.6743589743589743,0.6666666666666666,0.6,0.8,0.6888888888888888,0.5714285714285715,0.6,0.8571428571428571,0.6761904761904761
6,7,1,0.7741935483870968,0.5714285714285714,0.7,0.9285714285714286,0.7333333333333334,0.6666666666666666,0.7,0.8666666666666667,0.7444444444444445,0.6153846153846153,0.7,0.896551724137931,0.7373121131741821
6,8,1,0.8064516129032258,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,0.6666666666666666,0.8,0.8666666666666667,0.7777777777777778,0.6666666666666666,0.7272727272727272,0.9285714285714286,0.7741702741702742
6,9,1,0.7096774193548387,0.75,0.5833333333333334,0.8,0.7111111111111112,0.5,0.7,0.8,0.6666666666666666,0.6,0.6363636363636365,0.8000000000000002,0.6787878787878788
6,10,1,0.7096774193548387,0.5,0.6666666666666666,0.8666666666666667,0.6777777777777777,0.8333333333333334,0.4,0.8666666666666667,0.7000000000000001,0.625,0.5,0.8666666666666667,0.6638888888888889
7,1,1,0.6774193548387096,0.25,0.5454545454545454,0.875,0.5568181818181818,0.16666666666666666,0.6,0.9333333333333333,0.5666666666666667,0.2,0.5714285714285713,0.9032258064516129,0.5582181259600615
7,2,1,0.6774193548387096,0.42857142857142855,0.5,0.875,0.6011904761904762,0.5,0.4,0.9333333333333333,0.6111111111111112,0.4615384615384615,0.4444444444444445,0.9032258064516129,0.6030695708115063
7,3,1,0.8387096774193549,0.6,0.8333333333333334,0.9285714285714286,0.7873015873015873,0.5,1.0,0.8666666666666667,0.7888888888888889,0.5454545454545454,0.9090909090909091,0.896551724137931,0.7836990595611285
7,4,1,0.8064516129032258,0.6,0.6923076923076923,1.0,0.764102564102564,0.5,0.9,0.8666666666666667,0.7555555555555555,0.5454545454545454,0.7826086956521738,0.9285714285714286,0.7522115565593825
7,5,1,0.7741935483870968,0.5,0.8571428571428571,0.875,0.7440476190476191,0.6666666666666666,0.6,0.9333333333333333,0.7333333333333334,0.5714285714285715,0.7058823529411764,0.9032258064516129,0.7268455769404536
7,6,1,0.7096774193548387,0.3333333333333333,0.5833333333333334,1.0,0.638888888888889,0.3333333333333333,0.7,0.8666666666666667,0.6333333333333333,0.3333333333333333,0.6363636363636365,0.9285714285714286,0.6327561327561327
7,7,1,0.7096774193548387,0.375,0.6,1.0,0.6583333333333333,0.5,0.6,0.8666666666666667,0.6555555555555556,0.42857142857142855,0.6,0.9285714285714286,0.6523809523809524
7,8,1,0.6774193548387096,0.5714285714285714,0.5,0.8571428571428571,0.6428571428571428,0.6666666666666666,0.5,0.8,0.6555555555555556,0.6153846153846153,0.5,0.8275862068965518,0.647656940760389
7,9,1,0.8709677419354839,0.7142857142857143,0.875,0.9375,0.8422619047619048,0.8333333333333334,0.7,1.0,0.8444444444444444,0.7692307692307692,0.7777777777777777,0.967741935483871,0.838250160830806
7,10,1,0.8709677419354839,0.7142857142857143,0.875,0.9375,0.8422619047619048,0.8333333333333334,0.7,1.0,0.8444444444444444,0.7692307692307692,0.7777777777777777,0.967741935483871,0.838250160830806
8,1,1,0.7741935483870968,0.5714285714285714,0.6363636363636364,1.0,0.735930735930736,0.6666666666666666,0.7,0.8666666666666667,0.7444444444444445,0.6153846153846153,0.6666666666666666,0.9285714285714286,0.7368742368742369
8,2,1,0.7741935483870968,0.5,0.7272727272727273,0.875,0.7007575757575758,0.3333333333333333,0.8,0.9333333333333333,0.6888888888888888,0.4,0.761904761904762,0.9032258064516129,0.6883768561187916
8,3,1,0.7419354838709677,0.5,0.6,0.8823529411764706,0.6607843137254902,0.3333333333333333,0.6,1.0,0.6444444444444445,0.4,0.6,0.9375,0.6458333333333334
8,4,1,0.8387096774193549,0.6666666666666666,0.8571428571428571,0.9333333333333333,0.8190476190476191,1.0,0.6,0.9333333333333333,0.8444444444444444,0.8,0.7058823529411764,0.9333333333333333,0.8130718954248367
8,5,1,0.6451612903225806,0.3333333333333333,0.7142857142857143,0.7222222222222222,0.5899470899470899,0.3333333333333333,0.5,0.8666666666666667,0.5666666666666667,0.3333333333333333,0.588235294117647,0.7878787878787877,0.5698158051099226
8,6,1,0.8387096774193549,0.6666666666666666,0.8181818181818182,0.9285714285714286,0.8044733044733045,0.6666666666666666,0.9,0.8666666666666667,0.8111111111111112,0.6666666666666666,0.8571428571428572,0.896551724137931,0.8067870826491516
8,7,1,0.6774193548387096,0.5,0.5555555555555556,0.9166666666666666,0.6574074074074074,0.8333333333333334,0.5,0.7333333333333333,0.688888888888889,0.625,0.5263157894736842,0.8148148148148148,0.6553768680961664
8,8,1,0.6774193548387096,0.3333333333333333,0.5833333333333334,0.9230769230769231,0.6132478632478633,0.3333333333333333,0.7,0.8,0.611111111111111,0.3333333333333333,0.6363636363636365,0.8571428571428571,0.608946608946609
8,9,1,0.7096774193548387,0.5714285714285714,0.7142857142857143,0.7647058823529411,0.6834733893557422,0.6666666666666666,0.5,0.8666666666666667,0.6777777777777777,0.6153846153846153,0.588235294117647,0.8125,0.6720399698340874
8,10,1,0.7741935483870968,0.6,0.7,0.875,0.725,0.5,0.7,0.9333333333333333,0.7111111111111111,0.5454545454545454,0.7,0.9032258064516129,0.7162267839687194
9,1,1,0.6451612903225806,0.4444444444444444,0.42857142857142855,0.8666666666666667,0.5798941798941799,0.6666666666666666,0.3,0.8666666666666667,0.611111111111111,0.5333333333333333,0.3529411764705882,0.8666666666666667,0.5843137254901961
9,2,1,0.7741935483870968,0.4,0.6666666666666666,1.0,0.6888888888888888,0.3333333333333333,0.8,0.9333333333333333,0.6888888888888888,0.3636363636363636,0.7272727272727272,0.9655172413793104,0.6854754440961338
9,3,1,0.7096774193548387,0.6666666666666666,0.5833333333333334,0.8461538461538461,0.6987179487179488,0.6666666666666666,0.7,0.7333333333333333,0.7000000000000001,0.6666666666666666,0.6363636363636365,0.7857142857142856,0.6962481962481962
9,4,1,0.6774193548387096,0.2,0.5,1.0,0.5666666666666667,0.16666666666666666,0.6,0.9333333333333333,0.5666666666666667,0.1818181818181818,0.5454545454545454,0.9655172413793104,0.5642633228840125
9,5,1,0.6451612903225806,0.42857142857142855,0.5714285714285714,0.9,0.6333333333333333,0.5,0.8,0.6,0.6333333333333333,0.4615384615384615,0.6666666666666666,0.7200000000000001,0.6160683760683762
9,6,1,0.7741935483870968,0.5,0.75,0.9333333333333333,0.7277777777777779,0.6666666666666666,0.6,0.9333333333333333,0.7333333333333334,0.5714285714285715,0.6666666666666665,0.9333333333333333,0.7238095238095239
9,7,1,0.7419354838709677,0.4444444444444444,0.625,1.0,0.6898148148148149,0.6666666666666666,0.5,0.9333333333333333,0.6999999999999998,0.5333333333333333,0.5555555555555556,0.9655172413793104,0.6848020434227332
9,8,1,0.6774193548387096,0.5,0.6,0.8,0.6333333333333334,0.5,0.6,0.8,0.6333333333333334,0.5,0.6,0.8000000000000002,0.6333333333333334
9,9,1,0.7419354838709677,0.5555555555555556,0.8333333333333334,0.8125,0.7337962962962963,0.8333333333333334,0.5,0.8666666666666667,0.7333333333333334,0.6666666666666667,0.625,0.8387096774193549,0.7101254480286738
9,10,1,0.8064516129032258,0.75,0.7777777777777778,0.8333333333333334,0.7870370370370371,0.5,0.7,1.0,0.7333333333333334,0.6,0.7368421052631577,0.9090909090909091,0.7486443381180222
10,1,1,0.6774193548387096,0.42857142857142855,0.5,1.0,0.6428571428571429,0.5,0.6,0.8,0.6333333333333334,0.4615384615384615,0.5454545454545454,0.888888888888889,0.631960631960632
10,2,1,0.6451612903225806,0.5,0.5555555555555556,0.7857142857142857,0.6137566137566138,0.6666666666666666,0.5,0.7333333333333333,0.6333333333333333,0.5714285714285715,0.5263157894736842,0.7586206896551724,0.6187883501858094
10,3,1,0.5806451612903226,0.0,0.4117647058823529,0.8461538461538461,0.4193061840120664,0.0,0.7,0.7333333333333333,0.4777777777777777,0,0.5185185185185185,0.7857142857142856,0.4347442680776014
10,4,1,0.6774193548387096,0.3333333333333333,0.5,1.0,0.611111111111111,0.5,0.4,0.9333333333333333,0.6111111111111112,0.4,0.4444444444444445,0.9655172413793104,0.6033205619412517
10,5,1,0.8064516129032258,0.6,0.6666666666666666,1.0,0.7555555555555555,0.5,0.8,0.9333333333333333,0.7444444444444445,0.5454545454545454,0.7272727272727272,0.9655172413793104,0.7460815047021944
10,6,1,0.7741935483870968,1.0,0.6363636363636364,0.8333333333333334,0.8232323232323232,0.3333333333333333,0.7,1.0,0.6777777777777777,0.5,0.6666666666666666,0.9090909090909091,0.6919191919191919
10,7,1,0.7419354838709677,0.6,0.6153846153846154,0.9230769230769231,0.712820512820513,0.5,0.8,0.8,0.7000000000000001,0.5454545454545454,0.6956521739130435,0.8571428571428571,0.699416525503482
10,8,1,0.6774193548387096,0.6,0.5833333333333334,0.7857142857142857,0.6563492063492063,0.5,0.7,0.7333333333333333,0.6444444444444444,0.5454545454545454,0.6363636363636365,0.7586206896551724,0.6468129571577848
10,9,1,0.5806451612903226,0.42857142857142855,0.4,0.7857142857142857,0.5380952380952381,0.5,0.4,0.7333333333333333,0.5444444444444444,0.4615384615384615,0.4000000000000001,0.7586206896551724,0.540053050397878
10,10,1,0.9032258064516129,1.0,0.7692307692307693,1.0,0.923076923076923,0.5,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8695652173913044,1.0,0.8454106280193238
