cross_val,kfold,n_trees,accuracy,class_bad_recall,class_good_recall,mean_recall,class_bad_precision,class_good_precision,mean_precision,class_bad_F1,class_good_F1,mean_F1
10,5,100,0.76,0.8,0.7555555555555555,0.7777777777777778,0.26666666666666666,0.9714285714285714,0.6190476190476191,0.4,0.85,0.625
10,6,100,0.73,0.6,0.7529411764705882,0.6764705882352942,0.3,0.9142857142857143,0.6071428571428571,0.4,0.8258064516129033,0.6129032258064517
10,7,100,0.7,0.5,0.7439024390243902,0.6219512195121951,0.3,0.8714285714285714,0.5857142857142857,0.37499999999999994,0.8026315789473685,0.5888157894736842
10,8,100,0.76,0.7142857142857143,0.7674418604651163,0.7408637873754154,0.3333333333333333,0.9428571428571428,0.638095238095238,0.4545454545454545,0.8461538461538461,0.6503496503496503
10,9,100,0.73,0.5714285714285714,0.7721518987341772,0.6717902350813743,0.4,0.8714285714285714,0.6357142857142857,0.47058823529411764,0.8187919463087248,0.6446900908014213
10,10,100,0.74,0.6428571428571429,0.7558139534883721,0.6993355481727574,0.3,0.9285714285714286,0.6142857142857143,0.4090909090909091,0.8333333333333334,0.6212121212121212
1,1,200,0.78,0.7857142857142857,0.7790697674418605,0.782392026578073,0.36666666666666664,0.9571428571428572,0.6619047619047619,0.5,0.858974358974359,0.6794871794871795
1,2,200,0.76,0.75,0.7613636363636364,0.7556818181818181,0.3,0.9571428571428572,0.6285714285714286,0.4285714285714285,0.8481012658227849,0.6383363471971066
1,3,200,0.83,0.8823529411764706,0.8192771084337349,0.8508150248051027,0.5,0.9714285714285714,0.7357142857142858,0.6382978723404256,0.8888888888888888,0.7635933806146572
1,4,200,0.73,0.5714285714285714,0.7721518987341772,0.6717902350813743,0.4,0.8714285714285714,0.6357142857142857,0.47058823529411764,0.8187919463087248,0.6446900908014213
1,5,200,0.74,0.6111111111111112,0.7682926829268293,0.6897018970189702,0.36666666666666664,0.9,0.6333333333333333,0.45833333333333326,0.8289473684210527,0.643640350877193
1,6,200,0.78,0.75,0.7857142857142857,0.7678571428571428,0.4,0.9428571428571428,0.6714285714285715,0.5217391304347827,0.8571428571428571,0.68944099378882
1,7,200,0.72,0.6,0.7333333333333333,0.6666666666666666,0.2,0.9428571428571428,0.5714285714285714,0.3,0.8250000000000001,0.5625
1,8,200,0.73,0.6153846153846154,0.7471264367816092,0.6812555260831124,0.26666666666666666,0.9285714285714286,0.5976190476190476,0.37209302325581395,0.8280254777070064,0.6000592504814102
1,9,200,0.77,0.7333333333333333,0.7764705882352941,0.7549019607843137,0.36666666666666664,0.9428571428571428,0.6547619047619048,0.4888888888888889,0.8516129032258064,0.6702508960573477
1,10,200,0.74,0.6111111111111112,0.7682926829268293,0.6897018970189702,0.36666666666666664,0.9,0.6333333333333333,0.45833333333333326,0.8289473684210527,0.643640350877193
2,1,200,0.8,1.0,0.7777777777777778,0.8888888888888888,0.3333333333333333,1.0,0.6666666666666666,0.5,0.8750000000000001,0.6875
